Commission,ID,ProfitDate,ProfitTime,Stock,Total,Whish
"$1,177.50",141,2026-03-20 00:00:00,1899-12-30 20:58:47,"$2,005.27",0,"$3,374.14"
"$1,200.54",142,2026-03-21 00:00:00,1899-12-30 20:54:04,"$2,036.93",0,"$3,556.51"
"$1,255.96",143,2026-03-23 00:00:00,1899-12-30 20:50:26,"$2,069.04",0,"$3,772.15"
"$1,349.34",144,2026-03-24 00:00:00,1899-12-30 20:54:52,"$2,117.45",0,"$3,941.82"
"$1,395.05",145,2026-03-25 00:00:00,1899-12-30 22:35:42,"$2,144.70",0,"$4,292.99"
"$1,427.76",146,2026-03-26 00:00:00,1899-12-30 20:59:06,"$2,200.43",0,"$4,428.67"
"$1,469.40",147,2026-03-27 00:00:00,1899-12-30 21:06:47,"$2,372.03",0,"$4,670.81"
"$1,494.56",148,2026-03-28 00:00:00,1899-12-30 20:58:08,"$2,420.99",0,"$4,932.79"
"$1,557.76",149,2026-03-30 00:00:00,1899-12-30 21:00:29,"$2,530.85",0,"$5,112.76"
"$1,680.47",150,2026-03-31 00:00:00,1899-12-30 21:03:43,"$2,674.46",0,"$5,434.42"
$139.04,151,2026-04-01 00:00:00,1899-12-30 20:57:25,"$2,740.76",0,"$5,636.79"
$245.53,152,2026-04-02 00:00:00,1899-12-30 21:10:36,$0.38,0,$0.00
$288.61,153,2026-04-03 00:00:00,1899-12-30 20:55:46,$74.72,0,$253.24
$331.66,154,2026-04-04 00:00:00,1899-12-30 21:00:33,$143.77,0,$458.64
$365.54,155,2026-04-06 00:00:00,1899-12-30 20:57:54,$247.27,0,$593.86
$462.88,156,2026-04-07 00:00:00,1899-12-30 23:15:39,$349.81,0,$885.61
$530.14,157,2026-04-08 00:00:00,1899-12-30 20:56:01,$401.90,0,"$1,102.67"
$609.97,158,2026-04-09 00:00:00,1899-12-30 20:56:43,$507.02,0,"$1,337.43"
$664.36,159,2026-04-10 00:00:00,1899-12-30 20:55:43,$621.77,0,"$1,582.72"
$727.12,160,2026-04-11 00:00:00,1899-12-30 21:04:14,$680.12,0,"$1,824.21"
