Amount,Discount,Discount_Amount,ExistedQuantity,ID_ID,INV_ID,IsFullyReturned,LbpUsdRate,P_ID,Product_Category,Product_Cost,Product_Currency,Product_Description,Product_Selling,Qty_Returned_ToDate,Quantity,Total,USDollarsAmount,USDollarsCost,USDollarsProfit,USDollarsRate,USDollarsSelling,USDollarsTotal,UsdLbpRate,isReturned,isSelected
34000000000,0,[],0,1,1,False,,4,Recharges,15100000000,LBP,Card 15.15,17000000000,,2,34000000000,0,0,0,"$89,500.00",0,0,,False,False
630000,0,[],0,2,2,False,,882,Whish App,630000,USD,Whish to Whish USD,630000,,1,630000,0,0,0,"$89,500.00",0,0,,False,False
1000000,0,[],0,3,3,False,,882,Whish App,1000000,USD,Whish to Whish USD,1000000,,1,1000000,0,0,0,"$89,500.00",0,0,,False,False
800000,0,[],0,4,4,False,,886,Whish,800000,USD,Streaming Accounts,800000,,1,800000,0,0,0,"$89,500.00",0,0,,False,False
2600000,0,[],0,5,5,False,,882,Whish App,2600000,USD,Whish to Whish USD,2600000,,1,2600000,0,0,0,"$89,500.00",0,0,,False,False
2600000000,0,[],0,6,6,False,,884,Cash,2600000000,LBP,Cash LBP,2600000000,,1,2600000000,0,0,0,"$89,500.00",0,0,,False,False
200000,0,[],0,7,7,False,,882,Whish App,200000,USD,Whish to Whish USD,200000,,1,200000,0,0,0,"$89,500.00",0,0,,False,False
500000,0,[],0,8,8,False,,882,Whish App,500000,USD,Whish to Whish USD,500000,,1,500000,0,0,0,"$89,500.00",0,0,,False,False
1500000,0,[],0,9,9,False,,883,Cash,1500000,USD,Cash USD,1500000,,1,1500000,0,0,0,"$89,500.00",0,0,,False,False
760000,0,[],0,10,10,False,,883,Cash,760000,USD,Cash USD,760000,,1,760000,0,0,0,"$89,500.00",0,0,,False,False
200000,0,[],0,11,11,False,,883,Cash,200000,USD,Cash USD,200000,,1,200000,0,0,0,"$89,500.00",0,0,,False,False
9600000000,0,[],0,12,12,False,,884,Cash,2400000000,LBP,Cash LBP,2400000000,,4,9600000000,0,0,0,"$89,500.00",0,0,,False,False
200000,0,[],0,13,13,False,,883,Cash,200000,USD,Cash USD,200000,,1,200000,0,0,0,"$89,500.00",0,0,,False,False
3200000000,0,[],0,14,14,False,,884,Cash,3200000000,LBP,Cash LBP,3200000000,,1,3200000000,0,0,0,"$89,500.00",0,0,,False,False
180000,0,[],0,15,15,False,,883,Cash,180000,USD,Cash USD,180000,,1,180000,0,0,0,"$89,500.00",0,0,,False,False
4800000000,0,[],0,16,16,False,,884,Cash,4800000000,LBP,Cash LBP,4800000000,,1,4800000000,0,0,0,"$89,500.00",0,0,,False,False
11500000000,0,[],0,17,17,False,,884,Cash,11500000000,LBP,Cash LBP,11500000000,,1,11500000000,0,0,0,"$89,500.00",0,0,,False,False
5750000000,0,[],0,18,18,False,,884,Cash,5750000000,LBP,Cash LBP,5750000000,,1,5750000000,0,0,0,"$89,500.00",0,0,,False,False
80000,0,[],0,19,19,False,,882,Whish App,80000,USD,Whish to Whish USD,80000,,1,80000,0,0,0,"$89,500.00",0,0,,False,False
12900000000,0,[],0,20,20,False,,884,Cash,12900000000,LBP,Cash LBP,12900000000,,1,12900000000,0,0,0,"$89,500.00",0,0,,False,False
1880000,0,[],0,21,21,False,,883,Cash,1880000,USD,Cash USD,1880000,,1,1880000,0,0,0,"$89,500.00",0,0,,False,False
8500000000,0,[],0,22,22,False,,741,Whish App,8500000000,LBP,Whish to Whish LBP,8500000000,,1,8500000000,0,0,0,"$89,500.00",0,0,,False,False
360000,0,[],0,23,23,False,,882,Whish App,360000,USD,Whish to Whish USD,360000,,1,360000,0,0,0,"$89,500.00",0,0,,False,False
13800000000,0,[],0,24,24,False,,741,Whish App,13800000000,LBP,Whish to Whish LBP,13800000000,,1,13800000000,0,0,0,"$89,500.00",0,0,,False,False
1300000,0,[],0,25,25,False,,883,Cash,1300000,USD,Cash USD,1300000,,1,1300000,0,0,0,"$89,500.00",0,0,,False,False
1000000,0,[],0,26,26,False,,883,Cash,1000000,USD,Cash USD,1000000,,1,1000000,0,0,0,"$89,500.00",0,0,,False,False
2000000000,0,[],0,27,26,False,,884,Cash,2000000000,LBP,Cash LBP,2000000000,,1,2000000000,0,0,0,"$89,500.00",0,0,,False,False
28000000000,0,[],0,28,27,False,,884,Cash,28000000000,LBP,Cash LBP,28000000000,,1,28000000000,0,0,0,"$89,500.00",0,0,,False,False
28750000000,0,[],0,29,28,False,,884,Cash,28750000000,LBP,Cash LBP,28750000000,,1,28750000000,0,0,0,"$89,500.00",0,0,,False,False
2000000000,0,[],0,30,29,False,,884,Cash,2000000000,LBP,Cash LBP,2000000000,,1,2000000000,0,0,0,"$89,500.00",0,0,,False,False
5750000000,0,[],0,31,30,False,,884,Cash,5750000000,LBP,Cash LBP,5750000000,,1,5750000000,0,0,0,"$89,500.00",0,0,,False,False
12650000000,0,[],0,32,31,False,,884,Cash,12650000000,LBP,Cash LBP,12650000000,,1,12650000000,0,0,0,"$89,500.00",0,0,,False,False
350000,0,[],0,33,32,False,,882,Whish App,350000,USD,Whish to Whish USD,350000,,1,350000,0,0,0,"$89,500.00",0,0,,False,False
1200000,0,[],0,34,33,False,,882,Whish App,1200000,USD,Whish to Whish USD,1200000,,1,1200000,0,0,0,"$89,500.00",0,0,,False,False
6000000000,0,[],0,35,34,False,,884,Cash,6000000000,LBP,Cash LBP,6000000000,,1,6000000000,0,0,0,"$89,500.00",0,0,,False,False
21150000000,0,[],0,36,35,False,,741,Whish App,21150000000,LBP,Whish to Whish LBP,21150000000,,1,21150000000,0,0,0,"$89,500.00",0,0,,False,False
220000,0,[],0,37,36,False,,883,Cash,220000,USD,Cash USD,220000,,1,220000,0,0,0,"$89,500.00",0,0,,False,False
300000,0,[],0,38,37,False,,883,Cash,300000,USD,Cash USD,300000,,1,300000,0,0,0,"$89,500.00",0,0,,False,False
