Amount,Discount,Discount_Amount,ID_ID,INV_ID,P_ID,Product_Cost,Product_Currency,Product_Description,Product_Selling,Quantity,Total
150000,0,[],1,54,882,150000,USD,Whish to Whish USD,150000,1,150000
8000000000,0,[],2,211,914,7710000000,LBP,Ogero,8000000000,1,8000000000
106640,0,[],3,486,917,21700,USD,Turquoise,26660,4,106640
160000,0,[],4,558,908,40000,USD,Writing Tablet 10 inch,80000,2,160000
160000,0,[],5,558,908,40000,USD,Writing Tablet 10 inch,80000,2,160000
21700000000,0,[],6,613,19,20700000000,LBP,IDM LBP,21700000000,1,21700000000
8500000000,0,[],7,921,13,7650000000,LBP,Touch Card 07.58,8500000000,1,8500000000
2800000,0,[],8,1122,882,2800000,USD,Whish to Whish USD,2800000,1,2800000
610000,0,[],9,1225,882,600000,USD,Whish to Whish USD,610000,1,610000
100000,0,[],10,1414,565,9000,USD,USB-A to iPhone X89,100000,1,100000
250000,0,[],11,1414,118,190000,USD,Apple Original USB-C 20W Power Adapter,250000,1,250000
40000,0,[],12,1414,955,10000,USD,Clear Protection Samsung A21S,40000,1,40000
100000,0,[],13,1414,773,30000,USD,Case iPhone 14 Pro,100000,1,100000
50000,0,[],14,1414,1002,15000,USD,Clear Protection iPhone 14 Pro,50000,1,50000
50000,0,[],15,1414,994,15000,USD,Clear Protection iPhone 14,50000,1,50000
80000,0,[],16,1414,591,50000,USD,Moxom USBC Earphones MX-EP89,80000,1,80000
70000,0,[],17,1414,599,25000,USD,Caisless Watch Protection Matte Explosion Proof 41mm,70000,1,70000
2000000,0,[],18,1561,882,2000000,USD,Whish to Whish USD,2000000,1,2000000
2000000,0,[],19,1927,882,2000000,USD,Whish to Whish USD,2000000,1,2000000
1350000,0,[],20,3049,444,1260000,USD,Samsung Galaxy A16 SM-A165F 4gb | 128gb,1350000,1,1350000
500000,0,[],21,3090,882,500000,USD,Whish to Whish USD,500000,1,500000
12750000,0,[],22,3571,1304,12600000,USD,iPhone 16 Pro 2 56 GB,12750000,1,12750000
3300000,0,[],23,3635,882,3300000,USD,Whish to Whish USD,3300000,1,3300000
180000,0,[],24,3971,1338,58500,USD,Bag kids Unicorn pink,180000,1,180000
180000,0,[],25,3971,1338,58500,USD,Bag kids Unicorn pink,150000,1,180000
56000,0,[],26,3974,917,22000,USD,Terea Turquoise,28000,2,56000
24000000000,0,[],27,4018,1116,19950000000,LBP,Alfa Internet 44 GB,24000000000,1,24000000000
300000,0,[],28,4090,1306,210000,USD,Samsung Original Charger 45W PD Adapter C to C,300000,1,300000
300000,0,[],29,4177,1306,210000,USD,Samsung Original Charger 45W PD Adapter C to C,300000,1,300000
300000,0,[],30,4177,1306,210000,USD,Samsung Original Charger 45W PD Adapter C to C,300000,1,300000
308000,0,[],31,4254,917,22000,USD,Terea Turquoise,28000,11,308000
