AccessoriesUSD,AlfaUSD,AppLBP,AppUSD,CapitalUSD,CashLBP,CashUSD,ClientDebtsUSD,ComissionLBP,ComissionTotalLBP_Accumulated,ComissionTotalUSD_Accumulated,ComissionUSD,CountDate,CountTime,ExpensesUSD,Notes,OwnerWithdrawal,PNL_ID,PNL_ResultUSD,ReceivablesUSD,SystemLBP,SystemUSD,TouchUSD,USDT,isManual
"$13,391.42",$20.94,"$1,627,780.00",$74.76,"$10,000.00","$94,940,000.00","$6,023.00","$1,295.05","$913,205.00",,,$72.11,2025-06-05 00:00:00,1899-12-30 21:51:04,$10.00,Closing,,35,$367.52,$18.00,"$198,500,552.50","$3,013.06",$3.56,$2.60,True
"$13,391.42",$20.94,"$1,627,000.00",$74.76,"$10,000.00","$94,290,000.00","$5,713.00","$1,315.05",$0.00,,,$0.00,2025-06-06 00:00:00,1899-12-30 08:23:31,$10.00,Opening,,36,$370.29,$18.00,"$198,500,552.50","$3,333.06",$3.56,$2.60,True
"$13,328.16",$89.94,"$3,423,030.00",$108.72,"$10,000.00","$87,489,000.00","$9,452.50","$1,159.84","$347,919.00",,,$34.61,2025-06-06 00:00:00,1899-12-30 21:57:46,$10.00,Closing,,42,$417.81,$18.00,"$80,271,552.50","$1,151.17",$3.56,$155.60,True
"$13,328.16",$79.38,"$7,605,000.00",$0.72,"$10,000.00","$87,494,000.00","$9,574.00","$1,225.62",$0.00,,,$0.00,2025-06-07 00:00:00,1899-12-30 08:34:34,$10.00,Opening,,43,$416.74,$18.00,"$70,271,552.50","$1,151.17",$3.56,$155.60,True
"$13,267.62",$71.24,"$4,939,000.00",$948.78,"$10,000.00","$96,525,000.00","$7,373.00",$846.17,$0.00,,,$0.00,2025-06-07 00:00:00,1899-12-30 15:18:02,$10.00,Checking,,60,$528.46,$18.00,"$26,171,000.00","$2,890.67",$3.56,$637.37,True
"$13,809.36",$68.74,"$7,431,280.00","$2,031.24","$10,000.00","$93,260,000.00","$6,786.00","$1,306.84","$334,600.00",,,$24.59,2025-06-07 00:00:00,1899-12-30 21:53:33,$10.00,Closing,,69,$565.25,$18.00,"$15,871,552.50","$1,854.67",$3.56,$36.37,True
"$13,809.36",$68.74,"$7,431,000.00","$2,465.54","$10,000.00","$93,260,000.00","$6,357.50","$1,306.84",$0.00,,,$0.00,2025-06-09 00:00:00,1899-12-30 08:15:18,$10.00,Opening,,70,$571.08,$18.00,"$15,871,552.00","$1,854.71",$3.56,$36.37,True
"$13,875.59",$47.18,"$9,851,280.00",$867.17,"$10,000.00","$112,441,000.00","$4,645.50","$1,100.73",$0.00,,,$0.00,2025-06-09 00:00:00,1899-12-30 11:28:26,$15.00,Checking,,76,$605.79,$18.00,"$48,021,552.50","$4,805.67",$3.56,$36.37,True
"$13,939.25",$35.18,"$3,125,880.00",$410.70,"$10,000.00","$83,520,000.00","$8,768.00",$792.39,"$125,429.00",,,$43.91,2025-06-09 00:00:00,1899-12-30 22:09:13,$15.00,Closing,,86,$897.49,$18.00,"$65,742,552.50","$2,405.76",$2.22,$54.37,True
"$13,939.25",$36.18,"$3,125,880.00",$410.70,"$10,000.00","$83,520,000.00","$8,583.00",$792.39,$0.00,,,$0.00,2025-06-10 00:00:00,1899-12-30 08:15:17,$15.00,Opening,,87,$750.21,$18.00,"$62,742,552.00","$2,405.76",$2.22,$54.37,True
"$13,909.95",$86.18,"$9,682,280.00",$127.20,"$10,000.00","$90,250,553.00","$7,663.00","$1,161.17",$0.00,,,$0.00,2025-06-10 00:00:00,1899-12-30 12:27:59,$22.78,Checking,,92,$757.70,$18.00,"$77,452,552.30","$2,682.50",$2.22,$238.25,True
"$13,856.70",$55.68,"$6,284,730.00","$2,456.06","$10,000.00","$80,640,000.00","$6,694.00","$1,631.17",$0.00,,,$0.00,2025-06-10 00:00:00,1899-12-30 16:24:16,$22.78,Checking,,97,$879.65,$18.00,"$41,542,552.50","$1,731.30",$2.20,$238.25,True
"$13,833.53",$55.68,"$11,726,349.00","$1,447.01","$10,000.00","$81,304,000.00","$2,752.00","$1,595.84","$236,300.00",,,$38.44,2025-06-10 00:00:00,1899-12-30 21:59:10,$22.78,Closing,,98,$927.37,$18.00,"$14,756,552.50","$7,099.18",$2.20,$42.25,True
"$13,833.53",$55.68,"$6,167,999.00",$7.01,"$10,000.00","$98,702,000.00","$8,125.00","$1,433.62",$0.00,,,$0.00,2025-06-11 00:00:00,1899-12-30 10:24:28,$22.78,Opening,,103,$932.57,$18.00,"$164,774,552.50","$1,535.18",$2.20,$42.25,True
"$13,789.86",$42.68,"$5,943,149.00",$816.51,"$10,000.00","$99,414,000.00","$7,443.00","$1,281.50",$0.00,,,$0.00,2025-06-11 00:00:00,1899-12-30 18:53:43,$22.78,Checking,,107,"$1,195.59",$19.00,"$117,534,552.50","$2,452.25",$8.20,$93.25,True
"$13,738.99",$29.68,"$5,943,149.00",$790.51,"$10,000.00","$105,597,000.00","$9,765.00",$963.50,"$236,300.00",,,$38.44,2025-06-11 00:00:00,1899-12-30 08:30:33,$22.78,Closing,,109,"$1,087.69",$19.00,"$112,534,552.50",$740.39,$8.20,$93.25,True
