PC_ID,Products_Sub_Category
1,Mobile Covers
2,Chargers
3,Chargers Full Set
4,Cables
5,Cameras
6,Mobiles
7,Tabs
8,PC Spare Parts
9,Power Bank
10,Car Holder
11,Internet
13,Batteries
14,Mobile Holders
16,Camera Lens
17,Mouses & Keyboards
19,Screen Protection
20,Finance
21,Smoking
23,Watch Protection
24,Charger Station
25,Speakers
26,Airpods
27,Music
28,Watches
29,Pumps
30,Earbuds
31,Projectors
32,MELIYE
33,PLAY STATION
34,games
35,car accessories
36,scooter
37,earphones
38,Airpods Cases
39,FM Transmitter
40,Car Charger
41,Watch and Earbuds
42,Combo
43,Card Readers
44,Adpaters
45,Hub
46,Organizers
47,Tab Covers
48,Mobile Recharges
49,Phones
50,LAPTOP
51,Mugs
52,Kitchenware
53,Headphones
54,Storages
55,Home Appliances
56,Photography
57,Diffusser
58,IQOS
59,Computer
60,Mouse Pad
