Detail_ID,Discount,Discount_Amount,ExistedQuantity,P_ID,Product_Category,Product_Description,PurchaseCurrency,Purchase_ID,Qty,SerialNumber,Total,Total_Cost,Unit_Cost
27,0.,$0.00,1,445,Accessories,Samsung Galaxy A16 SM-A165F 6gb | 128gb,USD,1,2,,$292.00,$292.00,$146.00
28,0.,$0.00,0,1311,Accessories,pawa 2in1,USD,2,2,,$66.00,$66.00,$33.00
29,0.,$0.00,0,1312,Accessories,One Depot DPH03,USD,2,20,,$16.00,$16.00,$0.80
30,0.,$0.00,0,1314,Accessories,One Depot DPH02,USD,2,13,,$10.40,$10.40,$0.80
31,0.,$0.00,0,1315,Accessories,One Depot DPH01,USD,2,17,,$13.60,$13.60,$0.80
32,0.,$0.00,2,142,Accessories,Borofone USBC to Aux Cable BL19,USD,2,5,,$17.50,$17.50,$3.50
33,0.,$0.00,3,590,Accessories,Borofone iPhone to Aux Cable BL19,USD,2,5,,$17.50,$17.50,$3.50
34,0.,$0.00,0,1000,Accessories,Clear Protection iPhone 16 Pro,USD,2,20,,$30.00,$30.00,$1.50
35,0.,$0.00,0,968,Accessories,Clear Protection iPhone 13 / 13 Pro,USD,2,10,,$15.00,$15.00,$1.50
36,0.,$0.00,14,1002,Accessories,Clear Protection iPhone 14 Pro,USD,2,10,,$15.00,$15.00,$1.50
37,0.,$0.00,0,1036,Accessories,Privacy Protection iPhone 14 Pro Max,USD,2,10,,$15.00,$15.00,$1.50
38,0.,$0.00,0,976,Accessories,Clear Protection Samsung S22,USD,2,3,,$5.25,$5.25,$1.75
39,0.,$0.00,1,530,Accessories,Watch Band 42 | 44 | 45 mm,USD,2,3,,$4.50,$4.50,$1.50
40,0.,$0.00,0,1316,Accessories,Magnetic Cover Samsung S23 Ultra,USD,2,5,,$12.50,$12.50,$2.50
41,0.,$0.00,0,1317,Accessories,My Choice Cover Samsung S25 Ultra,USD,2,5,,$18.75,$18.75,$3.75
42,0.,$0.00,0,1322,Accessories,New Silicone MagSafe Case iPhone 16 Pro,USD,2,3,,$9.00,$9.00,$3.00
43,0.,$0.00,0,1320,Accessories,New Silicone MagSafe Case iPhone 13,USD,2,1,,$3.00,$3.00,$3.00
