Paid_USD,Purchase_Date,Purchase_ID,Purchase_Note,Supplier_ID,TimeSaved,Total_USD,Username,isPaid
$292.00,2025-09-02 00:00:00,1,,2,2025-09-02 18:25:56,$292.00,Unknown,True
$0.00,2025-09-03 00:00:00,2,,1,2025-09-03 18:58:47,$393.75,Unknown,True
$386.14,2025-09-03 00:00:00,3,,8,2025-09-03 19:28:19,$386.14,Unknown,True
$139.00,2025-09-04 00:00:00,4,,9,2025-09-04 14:55:35,$139.00,Unknown,True
$101.00,2025-09-04 00:00:00,5,,10,2025-09-04 15:19:27,$101.00,Unknown,True
$244.00,2025-09-05 00:00:00,6,,7,2025-09-05 09:06:32,$244.00,Unknown,True
"$1,090.00",2025-09-08 00:00:00,7,,2,2025-09-08 20:15:48,"$1,090.00",Unknown,True
$702.00,2025-09-08 00:00:00,8,,2,2025-09-08 20:23:55,$702.00,Unknown,True
$890.00,2025-09-08 00:00:00,9,,11,2025-09-08 20:55:48,$890.00,Unknown,True
$15.74,2025-09-09 00:00:00,10,,12,2025-09-09 11:45:28,$15.74,Unknown,True
$940.00,2025-09-09 00:00:00,11,,2,2025-09-09 11:52:04,$940.00,Unknown,True
$555.04,2025-09-11 00:00:00,12,,13,2025-09-11 19:16:32,$555.04,Unknown,True
$122.00,2025-09-12 00:00:00,13,,7,2025-09-12 16:33:04,$122.00,Unknown,True
$15.74,2025-09-15 00:00:00,14,,5,2025-09-15 15:26:30,$15.74,Unknown,True
$0.00,2025-09-17 00:00:00,15,,1,2025-09-17 12:17:45,$438.25,Unknown,True
$178.75,2025-09-17 00:00:00,16,,1,2025-09-17 14:56:13,$178.75,Unknown,True
$262.00,2025-09-18 00:00:00,17,,10,2025-09-18 12:54:37,$262.00,Unknown,True
$66.00,2025-09-18 00:00:00,18,,14,2025-09-18 19:31:04,$66.00,Unknown,True
$99.50,2025-09-19 00:00:00,19,,15,2025-09-19 14:17:55,$99.50,Unknown,True
$0.00,2025-09-19 00:00:00,20,,9,2025-09-19 15:42:58,$158.00,Unknown,True
$101.00,2025-09-22 00:00:00,21,,15,2025-09-22 20:06:08,$101.00,Unknown,True
"$1,101.00",2025-09-22 00:00:00,22,,2,2025-09-22 20:07:53,"$1,101.00",Unknown,True
$130.00,2025-09-22 00:00:00,23,,1,2025-09-22 20:14:35,$130.00,Unknown,True
$64.00,2025-09-24 00:00:00,24,,14,2025-09-24 20:03:54,$64.00,Unknown,True
$79.00,2025-09-24 00:00:00,25,,16,2025-09-24 20:08:12,$79.00,Unknown,True
$0.00,2025-09-25 00:00:00,26,,7,2025-09-25 14:15:33,$79.50,Unknown,True
$15.74,2025-09-26 00:00:00,27,,5,2025-09-26 15:27:54,$15.74,Unknown,True
$30.00,2025-09-27 00:00:00,28,,1,2025-09-27 18:30:42,$30.00,Unknown,True
$525.00,2025-09-29 00:00:00,29,,7,2025-09-29 19:17:37,$525.00,Unknown,True
$275.00,2025-09-30 00:00:00,30,,17,2025-09-30 13:28:30,$275.00,Unknown,True
$23.61,2025-09-30 00:00:00,31,,12,2025-09-30 14:17:35,$23.61,Unknown,True
$378.40,2025-09-30 00:00:00,32,,6,2025-09-30 20:06:02,$378.40,Unknown,True
"$1,250.00",2025-10-01 00:00:00,33,,2,2025-10-01 12:19:42,"$1,250.00",Unknown,True
$145.00,2025-10-02 00:00:00,34,,1,2025-10-02 08:02:28,$145.00,Unknown,True
$40.50,2025-10-02 00:00:00,35,,1,2025-10-02 08:07:24,$40.50,Unknown,True
$0.00,2025-10-02 00:00:00,36,,1,2025-10-02 12:36:06,$64.50,Unknown,True
$0.00,2025-10-04 00:00:00,37,,1,2025-10-04 14:29:13,$531.50,Unknown,True
$494.00,2025-10-06 00:00:00,38,,2,2025-10-06 15:40:50,$494.00,Unknown,True
$23.61,2025-10-07 00:00:00,39,,5,2025-10-07 14:02:10,$23.61,Unknown,True
$0.00,2025-10-08 00:00:00,40,,1,2025-10-08 16:38:32,$155.00,Unknown,True
$116.50,2025-10-09 00:00:00,41,,6,2025-10-09 14:23:09,$116.50,Unknown,True
$0.00,2025-10-09 00:00:00,42,,1,2025-10-09 16:49:00,$414.50,Unknown,True
$30.00,2025-10-10 00:00:00,43,,14,2025-10-10 17:35:13,$30.00,Unknown,True
$70.00,2025-10-10 00:00:00,44,,18,2025-10-10 19:36:13,$70.00,Unknown,True
$0.00,2025-10-10 00:00:00,45,,1,2025-10-10 19:39:04,$58.00,Unknown,True
$598.00,2025-10-10 00:00:00,46,,2,2025-10-10 20:36:49,$598.00,Unknown,True
$173.50,2025-10-14 00:00:00,47,,7,2025-10-14 09:20:34,$173.50,Unknown,True
$60.50,2025-10-15 00:00:00,48,,3,2025-10-15 11:53:41,$60.50,Unknown,True
$435.00,2025-10-15 00:00:00,49,,17,2025-10-15 18:54:33,$435.00,Unknown,True
$534.00,2025-10-17 00:00:00,50,,7,2025-10-17 15:54:27,$534.00,Unknown,True
$99.00,2025-10-18 00:00:00,51,,1,2025-10-18 16:16:58,$308.00,Unknown,True
$0.00,2025-10-18 00:00:00,52,,1,2025-10-18 16:50:24,$112.75,Unknown,True
$119.75,2025-10-21 00:00:00,53,,19,2025-10-21 09:51:59,$119.75,Unknown,True
$923.00,2025-10-21 00:00:00,54,,2,2025-10-21 13:22:51,$923.00,Unknown,True
$38.50,2025-10-23 00:00:00,55,,20,2025-10-23 14:41:25,$38.50,Unknown,True
$10.00,2025-10-23 00:00:00,56,,18,2025-10-23 14:43:42,$10.00,Unknown,True
$96.80,2025-10-25 00:00:00,57,,6,2025-10-25 10:45:34,$96.80,Unknown,True
$15.00,2025-10-25 00:00:00,58,,21,2025-10-25 13:51:06,$15.00,Unknown,True
$70.75,2025-10-25 00:00:00,59,,21,2025-10-25 14:07:07,$70.75,Unknown,True
$91.50,2025-10-25 00:00:00,60,,21,2025-10-25 14:15:22,$91.50,Unknown,True
$15.74,2025-10-27 00:00:00,61,,5,2025-10-27 08:29:01,$15.74,Unknown,True
$167.00,2025-10-27 00:00:00,62,,10,2025-10-27 17:12:11,$167.00,Unknown,True
$24.20,2025-10-27 00:00:00,63,,6,2025-10-27 17:19:57,$24.20,Unknown,True
$49.40,2025-10-29 00:00:00,64,,6,2025-10-29 10:01:48,$49.40,Unknown,True
$165.00,2025-10-31 00:00:00,65,,1,2025-10-31 10:33:20,$165.00,Unknown,True
$331.00,2025-10-31 00:00:00,66,,1,2025-10-31 12:50:56,$731.00,Unknown,True
$131.10,2025-11-01 00:00:00,67,,22,2025-11-01 14:18:39,$131.10,Unknown,True
$15.74,2025-11-04 00:00:00,68,,5,2025-11-04 09:35:47,$15.74,Unknown,True
$174.70,2025-11-04 00:00:00,69,,6,2025-11-04 15:55:58,$174.70,Unknown,True
"$2,440.00",2025-11-05 00:00:00,70,,2,2025-11-05 13:58:01,"$2,440.00",Unknown,True
$480.00,2025-11-06 00:00:00,71,,11,2025-11-06 19:18:36,$480.00,Unknown,True
$15.74,2025-11-07 00:00:00,72,,5,2025-11-07 15:52:17,$15.74,Unknown,True
$285.00,2025-11-07 00:00:00,73,,10,2025-11-07 16:10:50,$285.00,Unknown,True
$300.00,2025-11-08 00:00:00,74,,1,2025-11-08 13:13:23,"$1,049.75",Unknown,True
$0.00,2025-11-08 00:00:00,75,,1,2025-11-08 13:18:15,$27.50,Unknown,True
"$1,580.00",2025-11-10 00:00:00,76,,2,2025-11-10 14:47:31,"$1,580.00",Unknown,True
$820.00,2025-11-10 00:00:00,77,,11,2025-11-10 16:05:52,$820.00,Unknown,True
"$1,050.00",2025-11-10 00:00:00,78,,11,2025-11-10 17:36:21,"$1,050.00",Unknown,True
"$1,580.00",2025-11-10 00:00:00,79,,2,2025-11-10 17:48:48,"$1,580.00",Unknown,True
"$2,220.00",2025-11-11 00:00:00,80,,2,2025-11-11 15:55:38,"$2,220.00",Unknown,True
$145.80,2025-11-13 00:00:00,81,,6,2025-11-13 09:08:46,$145.80,Unknown,True
$151.00,2025-11-13 00:00:00,82,,23,2025-11-13 16:58:09,$151.00,Unknown,True
$54.00,2025-11-17 00:00:00,83,,3,2025-11-17 16:42:29,$54.00,Unknown,True
