INV_ID,LogDate,P_ID,Product_Details,Qty_Returned,ReturnDetail_ID,Return_ID,TotalCost_USD,Total_USD,UnitCost_USD,UnitPrice_USD,isPosted,isReturned
3910,,0,,0,1,0,[],[],[],[],False,False
3833,,0,,0,2,0,[],[],[],[],False,False
3978,,0,,0,3,0,[],[],[],[],False,False
3638,,0,,0,4,0,[],[],[],[],False,False
3755,,0,,0,5,0,[],[],[],[],False,False
4720,,0,,0,6,0,[],[],[],[],False,False
4321,,0,,0,7,0,[],[],[],[],False,False
5037,,0,,0,8,0,[],[],[],[],False,False
5404,2025-11-25 21:20:26,1314,One Depot DPH02,1,9,9,12500,50000,12500,50000,False,False
4065,2025-11-29 20:21:27,985,Clear Protection Samsu ng S23 Ultra,1,10,10,15000,50000,15000,50000,False,False
5739,2025-12-01 19:57:16,302,K8 Wireless Microphone,1,11,11,150000,250000,150000,250000,False,False
5875,2025-12-05 13:46:46,1410,HONOR PAD X7,2,12,12,1580000,1900000,790000,950000,False,False
5875,2025-12-05 13:47:18,1332,Samsung Galaxy A07SM-A07F 6gb | 128gb,1,13,13,1200000,1350000,1200000,1350000,False,False
5876,2025-12-05 13:47:48,767,Samsung Galaxy A36 SM-A366B/DS 8gb | 256gb,1,14,14,2890000,3300000,2890000,3300000,False,False
6288,2025-12-19 13:15:28,1538,Fast Push Game Console,1,15,15,50000,120000,50000,120000,False,False
6311,2025-12-20 12:12:43,1241,Pen Apple,1,16,16,130000,250000,130000,250000,False,False
6159,2025-12-27 03:09:22,195,Electric Scooter for Kids,1,17,17,1450000,1600000,1450000,1600000,False,False
6906,2026-01-14 20:25:21,1697,Hoco adapter usb-c single port fast charger set n70,1,18,18,50000,120000,50000,120000,False,False
6875,2026-01-14 20:32:58,1508,TRANYO USBC to MICRO T-S13 V,1,19,19,15000,80000,15000,80000,False,False
7083,2026-01-19 20:51:08,439,Rolimat Musical Hammering & Pounding Bench,1,20,20,100000,200000,100000,200000,False,False
7114,2026-01-19 20:52:26,1233,Clear Case Magsafe iPhone 15 Pro,1,21,21,50000,150000,50000,150000,False,False
7753,2026-02-14 20:14:36,192,Earldom Watch Type-C Charging Cable WC22,1,22,22,80000,150000,80000,150000,False,False
7611,2026-02-14 20:16:55,1443,Hoco X37 USBC to C,1,23,23,37500,120000,37500,120000,False,False
7508,2026-02-14 20:17:46,119,Apple Original USB-C to USB-C Charge Cable (1m),1,24,24,90000,150000,90000,150000,False,False
7635,2026-02-14 20:18:44,238,Hoco Male to Male 3.5mm AUX Audio Cable UPA26,1,25,25,37500,100000,37500,100000,False,False
8201,2026-03-10 16:19:24,451,Samsung Original Cable Fast Charging Type-C to Type-C,1,26,26,80000,150000,80000,150000,False,False
8194,2026-03-10 16:20:15,1943,60W / 10000 Bends / USB-C to USB-C Braided Cable / 1 Meter,1,27,27,22500,100000,22500,100000,False,False
8107,2026-03-10 16:28:17,1488,Magnetic Case s25 ultra,1,28,28,45000,130000,45000,130000,False,False
8172,2026-03-10 16:29:40,524,Watch Band Box - Spigen - 44 | 45 | 49 mm,1,29,29,20000,60000,20000,60000,False,False
8187,2026-03-10 16:31:53,1803,Flip Case Samsung Tab S10 FE+ 13.1 inch 2025,1,30,30,65000,200000,65000,200000,False,False
8245,2026-03-14 16:21:46,590,Borofone iPhone to Aux Cable BL19,1,31,31,35000,100000,35000,100000,False,False
8387,2026-03-25 17:09:01,584,Kakusiga PD30W QC3.0 Car Charger + Type C to iPhone KSC-856,1,32,32,55000,150000,55000,150000,False,False
8367,2026-03-25 17:11:19,1962,Green Lion Stereo X90 Earphones,1,33,33,40000,100000,40000,100000,False,False
8515,2026-03-31 18:29:48,1898,60W / 10000 Bends / USB-C to USB-C PVC Cable / 1 Meter,1,34,34,20000,100000,20000,100000,False,False
8494,2026-04-01 13:19:03,1204,Charger Tranyo 20 W T-EU7L iPhone,1,35,35,35000,120000,35000,120000,False,False
8570,2026-04-04 20:36:17,1063,Clear Case iPhone 12,1,36,36,8000,50000,8000,50000,False,False
