Address,Contact_Person,Credit_Terms,Email,Notes,Phone,Supplier_ID,Supplier_Name,USD_Balance
,,0,,,+96176901027,1,Ahmad Koz,$0.00
,,0,,,,2,Elie Cell,$0.00
,,0,,,,3,Habib Korban,$0.00
,,0,,,,4,Serge Kizil Tech,$0.00
,,0,,,,5,iPin Yehya,$0.00
,,0,,,,6,Hisham Rammouz,$0.00
Jounieh,Jawad,0,,,0,7,Jawad Matta,$0.00
MAZRAAT YACHOUH,JASON,0,,,03026070,8,TOBA-GO,$0.00
SEN EL FIL,ELIO,0,,,76118803,9,HONOR,$0.00
JAL DIB HIGH WAY,HASSAN,0,,,04547666,10,SARKIS GROUP,$0.00
BSALIM,ANTOINE AZIZ,0,,,76867044,11,USED PHONES,$0.00
ZALKA HIGH WAY,THERESE,0,,,03516192,12,TELIA,$0.00
bsalim,tamer saad,0,,,9613569506,13,SHEIN,$0.00
NAHER IBRAHIM,MOHAMAD,0,,,09938670,14,Akiki S.A.R.L,$0.00
*,DANY,0,,,76564663,15,Dany,$0.00
beirut,wassif,0,,,96181728918,16,wassif,$0.00
dekweneh slav,private tech,0,,,03988231,17,Private tech,$0.00
ZALKA,LYNN SAADEH,0,,,+961 79 131 379,18,MOURADI,$0.00
dawhet aramoun,wissam,0,,,96170876500,19,wissam phone wholesale,$0.00
sen el fil,william,0,,,78859955,20,william khoureh,$0.00
NEW RAWDA APOTRE,william,0,,,96178859955,21,SID INTERNATIONAL SAL,$0.00
SEN EL FIL,NAWAL SHOUMAN,0,,,9613495449,22,MI CARE,$0.00
beirut,mohamad,0,,,96171465433,23,Mohamad leil,$0.00
bsalim,elie,0,,,9613142188,24,elie,$0.00
Salim Slem Highway,Karrout Toys,0,,,0,25,Karrout Toys,$0.00
salim slam,Bilal,0,,,76764858,26,Mercado,$0.00
N/A,N/A,0,,,N/A,27,toters,$0.00
Biakout,Hoco Biakout,0,,,0,28,Hoco Biakout,$0.00
0,Samir,0,,,0,29,Samir Wholesale,$0.00
JAL EL DEEB,HALIM AJ,0,,,9611788999,30,Whish,$0.00
zalka main road,ricky,0,,,+96171033546,31,Ricky cell,$0.00
dbayeh,salesman,0,,,96170875359,32,Igo Tech,$0.00
zalka,sales department,0,,,96171222667,33,Ayoub Computers,$0.00
bsalim,Rawad Keyrouz,0,,,96170144284,34,Deo Group,$0.00
