Balance,ClientID,TaxiAccountID
-1730000,454,506
-150000,406,507
-1030000,197,508
490000,307,509
126100700,545,510
-4660000,537,511
-800000,476,512
-590000,519,513
2840000,73,514
-3020000,120,515
-6600000,485,516
4424400,11,517
-80000,624,518
-4200000,422,519
-780000,586,520
-170000,404,521
-945000,165,522
-3620000,367,523
-2170000,328,524
-560000,438,525
-2660000,368,526
-5590000,521,527
-1440000,583,528
-2604400,500,529
-4550000,524,530
-150000,354,531
-310000,342,532
-5080000,398,533
3460000,319,534
-3810000,565,535
-500000,323,536
8090000,303,537
-4390000,447,538
-300000,448,539
-1950000,427,540
-2390000,523,541
-300000,610,542
-240000,614,543
-4540000,499,544
-1000000,429,545
-2300000,51,546
4560000,313,547
-450000,341,548
-360000,592,549
-7350000,345,550
-18930000,163,551
-4360000,606,552
-1000000,346,553
-850000,434,554
-610000,68,555
-320000,365,556
5327800,311,557
-570000,405,558
1810000,144,559
-1250000,596,560
-2020000,529,561
-1120000,178,562
1910000,304,563
-2220000,46,564
-1410000,50,565
-500000,416,566
-1540000,413,567
-1470000,393,568
-3050000,399,569
-1300000,532,570
-50000,457,571
2500000,297,572
-6180000,501,573
5180000,293,574
-1020000,572,575
545000,301,576
1068900,302,577
1107000,616,578
4210000,131,579
-100000,321,580
4080000,314,581
1150000,296,582
230000,32,583
3660000,621,584
1760000,122,585
3970000,295,586
4050000,151,587
-990000,344,588
-1380000,99,589
-950000,443,590
-80000,498,591
-900000,451,592
2390000,300,593
-5050000,401,594
-3600000,481,595
-160000,474,596
3590000,324,597
-3130000,81,598
-5870000,507,599
1290000,363,600
-281000,442,601
-2070000,471,602
-400000,389,603
-390000,625,604
-180000,161,605
-280000,125,606
-510000,568,607
-2810000,464,608
-130000,347,609
-210000,330,610
-150000,213,611
-720000,370,612
-540000,130,613
-250000,440,614
-2600000,10,615
-110000,179,616
-70000,597,617
150000,290,618
140000,256,619
210000,316,620
128000,258,621
285500,626,622
-60000,317,623
-20000,310,624
-2280000,431,625
-400000,548,626
-300000,226,627
-630000,430,628
-50000,375,629
-350000,45,630
-900000,436,631
-120000,285,632
6000000,111,633
-70000,343,634
-70000,456,635
-160000,136,636
-2680000,21,637
-60000,423,638
-288600,627,639
-3010000,28,640
-310000,338,641
-80000,396,642
-22000,299,643
-200000,145,644
-100000,273,645
-3044400,186,646
-60000,525,647
-380000,470,648
-425000,225,649
