id,description,category,sub_category,brand,currency,cost,selling,quantity,active,created_at
1,Alfa Card 03.03,Recharges,Mobiles,Alfa,LBP,3180000000.0,4000000000.0,0,True,
2,Alfa Card 04.50,Recharges,Mobiles,Alfa,LBP,4620000000.0,5500000000.0,0,True,
3,Alfa Card 07.58,Recharges,Mobiles,Alfa,LBP,7650000000.0,9000000000.0,0,True,
4,Alfa Card 15.15,Recharges,Mobiles,Alfa,LBP,15100000000.0,17000000000.0,0,True,
5,Alfa Card 22.73,Recharges,Mobiles,Alfa,LBP,22550000000.0,25500000000.0,0,True,
6,Alfa Card 77.28,Recharges,Mobiles,Alfa,LBP,76200000000.0,84000000000.0,0,True,
7,Alfa Dollars,Recharges,Mobiles,Alfa,LBP,1150000000.0,1300000000.0,0,True,
8,Alfa Month,Recharges,Mobiles,Alfa,LBP,1950000000.0,3500000000.0,0,True,
10,Touch Card 01.67,Recharges,Mobiles,Touch,LBP,1840000000.0,2200000000.0,0,True,
11,Touch Card 03.79,Recharges,Mobiles,Touch,LBP,3930000000.0,4500000000.0,0,True,
12,Touch Card 04.50,Recharges,Mobiles,Touch,LBP,4620000000.0,5500000000.0,0,True,
13,Touch Card 07.58,Recharges,Mobiles,Touch,LBP,7650000000.0,8500000000.0,0,True,
14,Touch Card 15.15,Recharges,Mobiles,Touch,LBP,15100000000.0,17000000000.0,0,True,
15,Card 22.73Touch,Recharges,Mobiles,Touch,LBP,22550000000.0,25500000000.0,0,True,
16,Touch Card 77.28,Recharges,Mobiles,Touch,LBP,76200000000.0,84000000000.0,0,True,
17,Touch Dollars,Recharges,Mobiles,Touch,LBP,1150000000.0,1300000000.0,0,True,
18,Touch Month,Recharges,Mobiles,Touch,LBP,2950000000.0,3500000000.0,0,True,
19,IDM LBP,Recharges,Internet,IDM,LBP,0,0,0,True,
21,Terranet LBP,Recharges,Internet,Terranet,LBP,0,0,0,True,
22,Terranet USD,Recharges,Internet,Terranet,USD,0,0,0,True,
23,Sodetel LBP,Recharges,Internet,Sodetel,LBP,0,0,0,True,
24,Sodetel USD,Recharges,Internet,Sodetel,USD,0,0,0,True,
25,Cyberia LBP,Recharges,Internet,Cyberia,LBP,0,0,0,True,
27,Connect LBP,Recharges,Internet,Connect,LBP,0,0,0,True,
28,Connect USD,Recharges,Internet,Connect,USD,0,0,0,True,
29,Mobi LBP,Recharges,Internet,Mobi,LBP,0,0,0,True,
30,Mobi USD,Recharges,Internet,Mobi,USD,0,0,0,True,
31,Wise LBP,Recharges,Internet,Wise,LBP,0,0,0,True,
32,Wise USD,Recharges,Internet,Wise,USD,0,0,0,True,
33,Case iPhone 13 Pro Max,Accessories,Mobiles Covers,DKG Cover,USD,30000.0,100000.0,0,True,
34,Case iPhone 13 Pro Max,Accessories,Mobiles Covers,DKG Shock,USD,35000.0,100000.0,0,True,
35,Case iPhone 13 Pro Max,Accessories,Mobiles Covers,DKG Design,USD,35000.0,100000.0,0,True,
36,Case iPhone 14 Pro Max,Accessories,Mobiles Covers,Unnamed,USD,30000.0,100000.0,6,True,
37,Case iPhone 13 Pro,Accessories,Mobiles Covers,Unnamed,USD,30000.0,100000.0,4,True,
65,2.4G Wireless Controller Gamepad Lite,Accessories,,,USD,140000.0,200000.0,1,True,
66,Green Lion 4 in 1 Wireless Charger Charging Station,Accessories,Charger Station,Green Lion,USD,250000.0,350000.0,0,True,
67,"6.5"" Speaker AL-6812 - AL-6813",Accessories,Speakers,,USD,150000.0,250000.0,1,True,
69,Watch Cover + Glass 41mm,Accessories,Watch Protection,Watch,USD,15000.0,70000.0,2,True,
70,2 in 1 Glass + Case 49mm,Accessories,Watch Protection,Lito,USD,15000.0,70000.0,7,True,
