id,user_name,station,opened_at,closed_at,expected_cash_usd,counted_cash_usd,difference_usd,status,note
16,Unknown,Main Station,,,14038.35,1943.52,-12094.83,open,
29,Unknown,Main Station,,,13940.8,2086.85,-11853.949999999999,open,
30,Unknown,Main Station,,,13915.8,2121.85,-11793.949999999999,open,
31,Unknown,Main Station,,,13935.0,2102.95,-11832.05,open,
32,Unknown,Main Station,,,13925.0,2117.95,-11807.05,open,
54,Unknown,Main Station,,,13907.72,2117.95,-11789.77,open,
55,Unknown,Main Station,,,13990.84,2068.28,-11922.56,open,
56,Unknown,Main Station,2025-05-30T00:00:00,,13990.84,2068.28,-11922.56,open,
58,Unknown,Main Station,,,13964.59,2118.28,-11846.31,open,
59,Unknown,Main Station,,,13940.22,2179.28,-11760.939999999999,open,
60,Unknown,Main Station,,,13938.97,2189.28,-11749.689999999999,open,
63,Unknown,Main Station,,,13927.97,2214.28,-11713.689999999999,open,
64,Unknown,Main Station,,,13928.97,2204.28,-11724.689999999999,open,
65,Unknown,Main Station,,,13897.79,2236.28,-11661.51,open,
67,Unknown,Main Station,2025-05-31T00:00:00,,13897.79,2236.28,-11661.51,open,
68,Unknown,Main Station,,,13775.57,2388.95,-11386.619999999999,open,
69,Unknown,Main Station,,,13774.07,2395.95,-11378.119999999999,open,
72,Unknown,Main Station,,,13732.84,2452.74,-11280.1,open,
73,Unknown,Main Station,,,13596.93,2679.86,-10917.07,open,
76,Unknown,Main Station,2025-06-03T00:00:00,,13596.93,2679.86,-10917.07,open,
77,Unknown,Main Station,,,13589.93,2704.86,-10885.07,open,
78,Unknown,Main Station,,,13586.93,2714.86,-10872.07,open,
79,Unknown,Main Station,,,13556.98,2752.53,-10804.449999999999,open,
83,Unknown,Main Station,2025-06-01T00:00:00,,13556.98,2752.53,-10804.449999999999,open,
84,Unknown,Main Station,2025-06-04T00:00:00,,13556.98,2752.53,-10804.449999999999,open,
85,Unknown,Main Station,,,13532.02,2809.4,-10722.62,open,
86,Unknown,Main Station,,,13529.85,2812.06,-10717.79,open,
87,Unknown,Main Station,,,13529.85,2812.06,-10717.79,open,
88,Unknown,Main Station,2025-06-05T00:00:00,,13529.85,2812.06,-10717.79,open,
